Epoch,Batch_Size,Loss,Accuracy,Val_Loss,Val_Accuracy,f1_score,Val_f1_score,avg_vram_usage,min_vram_usage,max_vram_usage
1,33,4.3408613204956055,0.03620496019721031,0.00036074992385692894,3.6214215755462646,0.04621401056647301,0.0,4239.222222222223,4239.0,4240.0
2,34,3.6248257160186768,0.0425991527736187,0.0,3.6188549995422363,0.04621401056647301,0.0,4240.942857142857,4239.0,4243.0
3,35,3.6205689907073975,0.043981682509183884,0.0,3.6170685291290283,0.04514753073453903,0.0,4240.970588235294,4239.0,4243.0
4,36,3.6188836097717285,0.042512744665145874,0.0,3.6163575649261475,0.04621401056647301,0.0,4240.757575757576,4239.0,4242.0
5,37,3.6172187328338623,0.04622828960418701,0.0,3.613130807876587,0.04621401056647301,0.0,4240.84375,4239.0,4243.0
6,38,3.616199254989624,0.04545062035322189,0.0,3.6129977703094482,0.04479203745722771,0.0,4241.387096774193,4239.0,4244.0
7,39,3.61555552482605,0.04614188149571419,0.0,3.611844301223755,0.04159260913729668,0.0,4241.0,4239.0,4242.0
8,40,3.613579750061035,0.043376825749874115,0.0,3.6116511821746826,0.04550302401185036,0.0,4241.551724137931,4239.0,4243.0
9,41,3.612924337387085,0.0447593554854393,0.0,3.6141319274902344,0.04443654790520668,0.0,4241.0,4239.0,4243.0
10,42,3.6113297939300537,0.04501857981085777,0.0,3.613508462905884,0.04443654790520668,0.0,4240.571428571428,4239.0,4242.0
11,43,3.6114096641540527,0.0447593554854393,0.0,3.6117594242095947,0.03874867036938667,0.0,4242.037037037037,4241.0,4243.0
12,44,3.6086490154266357,0.04579625278711319,0.0,3.6201274394989014,0.04301457852125168,0.0,4241.074074074074,4239.0,4243.0
13,45,3.6092846393585205,0.046746738255023956,0.0,3.609022855758667,0.04230359196662903,0.0,4241.615384615385,4241.0,4243.0
14,45,3.60896635055542,0.0447593554854393,0.0,3.61244797706604,0.040170639753341675,0.0,4240.7692307692305,4239.0,4242.0
15,45,3.6167068481445312,0.044240906834602356,0.00016852036060299724,3.6145694255828857,0.04372556135058403,0.0,4240.615384615385,4239.0,4242.0
